Ensembl,Symbol,Disease_1,Disease_2,Disease_3
ENSG00000162408,NOL9,96,68,46
ENSG00000204859,ZBTB48,102,88,20
ENSG00000162413,KLHL21,241,194,39
ENSG00000116273,PHF13,32,28,57
ENSG00000041988,THAP3,66,55,48
ENSG00000007923,DNAJC11,65,46,25
ENSG00000171735,CAMTA1,195,176,75
ENSG00000049245,VAMP3,116,114,91
ENSG00000049246,PER3,163,118,41
ENSG00000049247,UTS2,9,7,0
ENSG00000049249,TNFRSF9,12,24,40
ENSG00000116288,PARK7,897,751,325
ENSG00000116285,ERRFI1,1785,1360,677
ENSG00000162426,SLC45A1,9,4,1
ENSG00000142599,RERE,121,79,82
ENSG00000074800,ENO1,2078,1725,1438
ENSG00000131686,CA6,5,5,2
ENSG00000142583,SLC2A5,15,13,17
ENSG00000180758,GPR157,72,59,55
ENSG00000049239,H6PD,836,723,431
ENSG00000171621,SPSB1,75,73,90
ENSG00000171612,SLC25A33,217,180,147
ENSG00000188807,TMEM201,12,5,48
ENSG00000171608,PIK3CD,32,25,52
ENSG00000171603,CLSTN1,63,48,106
ENSG00000178585,CTNNBIP1,27,21,58
ENSG00000162441,LZIC,38,20,34
ENSG00000173614,NMNAT1,113,82,71
ENSG00000162444,RBP7,39,28,26
ENSG00000130939,UBE4B,63,46,73
ENSG00000054523,KIF1B,238,229,106
ENSG00000142657,PGD,663,565,208
ENSG00000251503,APITD1-CORT,19,7,6
ENSG00000175279,CENPS,17,7,0
ENSG00000241563,CORT,2,1,6
ENSG00000160049,DFFA,212,175,148
ENSG00000142655,PEX14,40,32,39
ENSG00000130940,CASZ1,21,18,9
ENSG00000175262,C1orf127,1,1,2
ENSG00000120948,TARDBP,290,272,242
ENSG00000277726,AL109811.4,168,140,118
ENSG00000009724,MASP2,1670,1290,122
ENSG00000116649,SRM,101,80,74
ENSG00000171824,EXOSC10,95,94,129
ENSG00000198793,MTOR,105,96,94
ENSG00000171819,ANGPTL7,0,0,5
ENSG00000120942,UBIAD1,89,56,47
ENSG00000204624,DISP3,0,0,0
ENSG00000116661,FBXO2,512,348,89
ENSG00000132879,FBXO44,135,121,61
ENSG00000116663,FBXO6,76,49,64
ENSG00000116670,MAD2L2,230,178,135
ENSG00000162490,DRAXIN,21,34,39
ENSG00000177674,AGTRAP,85,46,68
ENSG00000215910,C1orf167,28,17,39
ENSG00000177000,MTHFR,192,122,126
ENSG00000011021,CLCN6,188,144,70
ENSG00000175206,NPPA,4,4,0
ENSG00000120937,NPPB,0,0,0
ENSG00000116685,KIAA2013,229,213,157
ENSG00000083444,PLOD1,658,515,619
ENSG00000116688,MFN2,261,247,108
ENSG00000116691,MIIP,79,66,45
ENSG00000120949,TNFRSF8,0,0,0
ENSG00000028137,TNFRSF1B,274,202,47
ENSG00000048707,VPS13D,158,121,102
ENSG00000162496,DHRS3,1972,1602,1255
ENSG00000157330,C1orf158,5,7,2
ENSG00000116726,PRAMEF12,0,0,0
ENSG00000239810,PRAMEF11,0,0,0
ENSG00000179172,HNRNPCL1,7,2,4
ENSG00000243073,PRAMEF4,1,0,0
ENSG00000187545,PRAMEF10,86,70,0
ENSG00000204510,PRAMEF7,0,0,0
ENSG00000232423,PRAMEF6,0,0,0
ENSG00000280267,PRAMEF26,0,0,1
ENSG00000274764,PRAMEF27,0,0,1
ENSG00000229571,PRAMEF25,0,0,0
ENSG00000277058,HNRNPCL3,0,0,0
ENSG00000275774,HNRNPCL2,1,0,1
ENSG00000179412,HNRNPCL4,1,1,0
ENSG00000204505,PRAMEF9,0,0,0
ENSG00000270601,PRAMEF5,0,1,0
ENSG00000182330,PRAMEF8,0,0,0
ENSG00000204501,PRAMEF15,1,0,0
ENSG00000204481,PRAMEF14,2,0,0
ENSG00000204479,PRAMEF17,2,1,0
ENSG00000162494,LRRC38,0,0,0
ENSG00000162493,PDPN,3,2,1
ENSG00000116731,PRDM2,154,120,111
ENSG00000189337,KAZN,15,17,2
ENSG00000171729,TMEM51,18,14,4
ENSG00000142621,FHAD1,24,18,10
ENSG00000142634,EFHD2,114,93,54
ENSG00000162438,CTRC,15,10,26
ENSG00000142615,CELA2A,2,6,6
ENSG00000215704,CELA2B,0,1,0
ENSG00000132906,CASP9,30,26,10
ENSG00000116138,DNAJC16,202,172,71
ENSG00000116771,AGMAT,396,333,111
ENSG00000197312,DDI2,470,398,265
ENSG00000215695,RSC1A1,139,116,48
ENSG00000116786,PLEKHM2,126,108,30
ENSG00000162461,SLC25A34,68,43,17
ENSG00000162460,TMEM82,514,431,31
ENSG00000162458,FBLIM1,53,52,104
ENSG00000233954,UQCRHL,51,54,14
ENSG00000065526,SPEN,180,157,139
ENSG00000116809,ZBTB17,46,19,54
